"","StateName","StructureNumber","ElementNumber","Year.of.Inspection","ConditionState1","ConditionState2","ConditionState3","ConditionState4","FunctionalClassOfInventoryRte","TypeOfDesignConstruction","DeckStructureType","DeckProtection","ScourCriticalBridges","Owner","KindOfMaterialDesign","ADT","ADTT","Year.Built","Skew","TypeOfWearingSurface","ScourCriticalBridges.1","NumberOfSnowfalls","NumberOfFreezeThawCycles","TotalElement"
"1","Oregon","00001 000 00005",12,1999,600,0,0,0,16,4,1,0,"8",4,1,3080,308,1914,0,6,"8",2,15,600
"2","Oregon","00001 000 00005",12,2000,600,0,0,0,16,4,1,0,"8",4,1,3080,308,1914,0,6,"8",1,14,600
"3","Oregon","00001 000 00005",12,2002,600,0,0,0,16,4,1,0,"8",4,1,3080,308,1914,0,6,"8",1,18,600
"4","Oregon","00001 000 00005",12,2004,600,0,0,0,16,4,1,0,"8",4,1,3172,317,1914,0,6,"8",3,5,600
"5","Oregon","00001 000 00005",12,2006,570,30,0,0,16,4,1,0,"8",4,1,3267,326,1914,0,6,"8",2,18,600
"6","Oregon","00001 000 00005",12,2008,570,30,0,0,16,2,1,0,"8",4,1,3365,336,1914,0,6,"8",7,23,600
"7","Oregon","00001 000 00005",12,2010,570,30,0,0,16,2,1,0,"8",4,1,3399,339,1914,0,6,"8",2,8,600
"8","Oregon","00001 000 00005",12,2012,570,30,0,0,16,2,1,0,"8",4,1,3399,339,1914,0,6,"8",11,10,600
"73","Oregon","00004 000 00010",12,1999,1008,592,0,0,19,2,1,0,"8",4,4,415,41,1936,30,6,"8",2,15,1600
"74","Oregon","00004 000 00010",12,2000,1008,592,0,0,19,2,1,0,"8",4,4,415,41,1936,30,6,"8",1,14,1600
"75","Oregon","00004 000 00010",12,2002,0,0,1600,0,19,2,1,0,"8",4,4,415,41,1936,30,6,"8",1,18,1600
"76","Oregon","00004 000 00010",12,2004,0,0,1600,0,19,2,1,0,"8",4,4,427,42,1936,30,6,"8",3,5,1600
"77","Oregon","00004 000 00010",12,2005,0,0,1600,0,19,2,1,0,"8",4,4,439,43,1936,30,6,"8",NA,17,1600
"78","Oregon","00004 000 00010",12,2006,0,1440,160,0,19,2,1,0,"8",4,4,439,43,1936,30,6,"8",2,18,1600
"79","Oregon","00004 000 00010",12,2008,0,1440,160,0,19,2,1,0,"8",4,4,452,45,1936,30,6,"8",7,23,1600
"80","Oregon","00004 000 00010",12,2010,0,1440,160,0,19,2,1,0,"8",4,4,457,45,1936,30,6,"8",2,8,1600
"81","Oregon","00004 000 00010",12,2012,0,1440,160,0,19,2,1,0,"3",4,4,457,45,1936,30,6,"3",11,10,1600
"82","Oregon","00004 000 00010",12,2014,840,640,120,0,19,2,1,0,"3",4,4,457,45,1936,30,6,"3",2,10,1600
"240","Oregon","00108B002 11455",12,1998,0,109300,0,0,1,9,1,1,"5",1,3,8800,1760,1963,0,1,"5",9,27,109300
"241","Oregon","00108B002 11455",12,2000,21860,76510,10930,0,1,9,1,1,"5",1,3,10100,3636,1963,0,1,"5",15,56,109300
"242","Oregon","00108B002 11455",12,2002,21860,76510,10930,0,1,9,1,1,"8",1,3,10600,4028,1963,0,1,"8",6,60,109300
"243","Oregon","00108B002 11455",12,2004,10930,87440,10930,0,1,9,1,1,"8",1,3,10800,4536,1963,0,1,"8",11,33,109300
"244","Oregon","00108B002 11455",12,2006,10930,87440,10930,0,1,9,1,1,"U",1,3,10800,4104,1963,0,1,"U",4,41,109300
"245","Oregon","00108B002 11455",12,2008,10930,87440,10930,0,1,9,1,1,"U",1,3,11100,3774,1963,0,1,"U",19,50,109300
"246","Oregon","00108B002 11455",12,2010,10930,54650,43720,0,1,9,1,1,"U",1,3,10600,4028,1963,0,1,"U",15,36,109300
"247","Oregon","00108B002 11455",12,2012,10930,54650,43720,0,1,9,1,1,"U",1,3,10600,3816,1963,0,1,"U",18,48,109300
"248","Oregon","00108B002 11455",12,2014,10930,54650,43720,0,1,9,1,1,"U",1,3,10600,3816,1963,0,1,"U",12,33,109300
"679","Oregon","00123K030 02590",12,1998,0,173800,0,0,12,2,1,1,"6",1,4,31200,936,1953,0,6,"6",1,7,173800
"680","Oregon","00123K030 02590",12,2000,34760,104280,34760,0,12,2,1,1,"3",1,4,39400,3546,1953,0,6,"3",2,19,173800
"681","Oregon","00123K030 02590",12,2002,26070,104280,43450,0,12,2,1,1,"3",1,4,39900,2394,1953,0,6,"3",6,14,173800
"682","Oregon","00123K030 02590",12,2003,26070,104280,43450,0,12,2,1,1,"3",1,4,41700,2502,1953,0,6,"3",2,17,173800
"683","Oregon","00123K030 02590",12,2005,34760,95590,43450,0,12,2,1,1,"3",1,4,41700,2502,1953,0,6,"3",NA,25,173800
"684","Oregon","00123K030 02590",12,2007,34760,86900,52140,0,12,2,1,1,"3",1,4,42500,1700,1953,0,6,"3",8,25,173800
"685","Oregon","00123K030 02590",12,2009,34760,86900,52140,0,12,2,1,1,"3",1,4,45539,1821,1953,0,6,"3",2,33,173800
"686","Oregon","00123K030 02590",12,2011,34760,86900,52140,0,12,2,1,1,"3",1,4,42400,2120,1953,0,6,"3",6,29,173800
"687","Oregon","00123K030 02590",12,2013,34760,86900,52140,0,12,2,1,1,"3",1,4,42400,2120,1953,0,6,"3",1,26,173800
"836","Oregon","1.34E+12",12,1997,12033,7067,0,0,7,2,1,1,"8",2,6,5900,1180,1985,0,1,"8",NA,14,19100
"837","Oregon","1.34E+12",12,2001,19100,0,0,0,16,2,1,1,"8",2,6,6900,1380,1985,0,1,"8",1,14,19100
"838","Oregon","1.34E+12",12,2003,18145,764,191,0,16,2,1,1,"8",2,6,8425,1263,1985,0,1,"8",1,13,19100
"839","Oregon","1.34E+12",12,2005,18145,764,191,0,16,2,1,1,"8",2,6,8425,1263,1985,0,1,"8",NA,17,19100
"840","Oregon","1.34E+12",12,2007,0,18909,191,0,16,2,1,1,"8",2,6,8425,1263,1985,0,1,"8",2,16,19100
"841","Oregon","1.34E+12",12,2009,0,18909,191,0,16,2,1,1,"8",2,6,8765,1314,1985,0,1,"8",NA,15,19100
"842","Oregon","1.34E+12",12,2011,17190,1719,191,0,16,2,1,1,"8",2,6,8765,1314,1985,0,1,"8",4,15,19100
"843","Oregon","1.34E+12",12,2013,16235,2674,191,0,16,2,1,1,"8",2,6,8765,1314,1984,0,1,"8",2,17,19100
"931","Oregon","00142 414700928",12,1998,1008,592,0,0,7,4,1,0,"7",2,2,500,50,1918,0,6,"7",2,6,1600
"932","Oregon","00142 414700928",12,2000,1328,272,0,0,7,4,1,0,"7",2,2,500,50,1918,0,6,"7",NA,19,1600
"933","Oregon","00142 414700928",12,2002,1328,272,0,0,7,4,1,0,"7",2,2,520,52,1918,0,6,"7",NA,16,1600
"934","Oregon","00142 414700928",12,2004,1328,272,0,0,7,4,1,0,"7",2,2,536,53,1918,0,6,"7",2,7,1600
"935","Oregon","00142 414700928",12,2006,1328,272,0,0,7,4,1,0,"7",2,2,536,53,1918,0,6,"7",1,22,1600
"936","Oregon","00142 414700928",12,2009,800,640,160,0,7,2,1,0,"7",2,2,558,27,1918,0,6,"7",11,37,1600
"937","Oregon","00142 414700928",12,2010,800,640,160,0,7,2,1,0,"3",2,2,558,27,1918,0,6,"3",2,7,1600
"938","Oregon","00142 414700928",12,2012,10,1440,150,0,7,2,1,0,"3",2,2,558,27,1918,0,6,"3",12,10,1600
"1087","Oregon","00159A604 00081",12,1998,2800,0,0,0,7,2,1,0,"6",2,5,1250,125,1979,0,1,"6",13,47,2800
"1088","Oregon","00159A604 00081",12,2000,2800,0,0,0,7,2,1,0,"3",2,5,1250,125,1979,0,1,"3",28,67,2800
"1089","Oregon","00159A604 00081",12,2002,2800,0,0,0,7,2,1,0,"3",2,5,1275,127,1979,0,1,"3",13,64,2800
"1090","Oregon","00159A604 00081",12,2004,2800,0,0,0,7,2,1,0,"3",2,5,1313,131,1979,0,1,"3",14,42,2800
"1091","Oregon","00159A604 00081",12,2006,2800,0,0,0,7,2,1,0,"3",2,5,1313,131,1979,0,1,"3",17,57,2800
"1092","Oregon","00159A604 00081",12,2009,2660,140,0,0,7,2,1,0,"3",2,5,1366,136,1979,0,1,"3",18,60,2800
"1093","Oregon","00159A604 00081",12,2010,2660,140,0,0,7,2,1,0,"3",2,5,1366,136,1979,0,1,"3",15,27,2800
"1094","Oregon","00159A604 00081",12,2012,2660,140,0,0,7,2,1,0,"3",2,5,1366,136,1979,0,1,"3",31,58,2800
"1095","Oregon","00159A604 00081",12,2015,800,2000,0,0,7,2,1,0,"3",2,5,1366,136,1979,0,1,"3",11,16,2800
"1358","Oregon","00200A026 10236",12,1999,25300,0,0,0,7,5,NA,NA,"5",1,6,7200,720,1982,25,NA,"5",10,53,25300
"1359","Oregon","00200A026 10236",12,2001,24035,1265,0,0,7,5,NA,NA,"5",1,6,6900,690,1982,25,NA,"5",11,62,25300
"1360","Oregon","00200A026 10236",12,2003,24035,1012,253,0,7,5,NA,NA,"5",1,6,7000,280,1982,25,NA,"5",7,44,25300
"1361","Oregon","00200A026 10236",12,2005,22770,2277,253,0,7,5,1,8,"5",1,6,7000,280,1982,25,1,"5",12,45,25300
"1362","Oregon","00200A026 10236",12,2007,22770,2277,253,0,6,5,1,0,"5",1,6,7600,228,1982,25,1,"5",21,47,25300
